action,eventId,messageId,senderId,receiverId,nodeRole,generationTime,eventTime,remainingHops,hopCount,packetBytes,duplicateDiscarded,ttlExpired
accident_occurrence,accident-1,em-accident-1,EmergencyGridScenario.rsu[2],,rsu,,60,,,,,
accident_detection,accident-1,em-accident-1,EmergencyGridScenario.rsu[2],,rsu,,67,,,,,
generated,accident-1,em-accident-1,EmergencyGridScenario.rsu[2],broadcast,rsu,67,67,10,0,266,0,0
transmit,accident-1,em-accident-1,EmergencyGridScenario.rsu[2],broadcast,rsu,67,67,10,0,266,0,0
receive,accident-1,em-accident-1,EmergencyGridScenario.rsu[2],accident,normal,67,67.0004,10,0,266,0,0
receive,accident-1,em-accident-1,EmergencyGridScenario.rsu[2],normal11,normal,67,67.0004,10,0,266,0,0
receive,accident-1,em-accident-1,EmergencyGridScenario.rsu[2],normal20,normal,67,67.0004,10,0,266,0,0
receive,accident-1,em-accident-1,EmergencyGridScenario.rsu[2],normal22,normal,67,67.0004,10,0,266,0,0
receive,accident-1,em-accident-1,EmergencyGridScenario.rsu[2],normal2,normal,67,67.0004,10,0,266,0,0
receive,accident-1,em-accident-1,EmergencyGridScenario.rsu[2],normal23,normal,67,67.0004,10,0,266,0,0
receive,accident-1,em-accident-1,EmergencyGridScenario.rsu[2],normal6,normal,67,67.0004,10,0,266,0,0
receive,accident-1,em-accident-1,EmergencyGridScenario.rsu[2],normal26,normal,67,67.0004,10,0,266,0,0
receive,accident-1,em-accident-1,EmergencyGridScenario.rsu[2],normal3,normal,67,67.0004,10,0,266,0,0
receive,accident-1,em-accident-1,EmergencyGridScenario.rsu[2],normal19,normal,67,67.0004,10,0,266,0,0
receive,accident-1,em-accident-1,EmergencyGridScenario.rsu[2],normal0,normal,67,67.0004,10,0,266,0,0
receive,accident-1,em-accident-1,EmergencyGridScenario.rsu[2],EmergencyGridScenario.rsu[1],rsu,67,67.0004,10,0,266,0,0
receive,accident-1,em-accident-1,EmergencyGridScenario.rsu[2],normal18,normal,67,67.0004,10,0,266,0,0
receive,accident-1,em-accident-1,EmergencyGridScenario.rsu[2],normal4,normal,67,67.0004,10,0,266,0,0
receive,accident-1,em-accident-1,EmergencyGridScenario.rsu[2],normal9,normal,67,67.0004,10,0,266,0,0
receive,accident-1,em-accident-1,EmergencyGridScenario.rsu[2],normal1,normal,67,67.0004,10,0,266,0,0
receive,accident-1,em-accident-1,EmergencyGridScenario.rsu[2],normal5,normal,67,67.0004,10,0,266,0,0
receive,accident-1,em-accident-1,EmergencyGridScenario.rsu[2],normal25,normal,67,67.0004,10,0,266,0,0
receive,accident-1,em-accident-1,EmergencyGridScenario.rsu[2],normal24,normal,67,67.0004,10,0,266,0,0
receive,accident-1,em-accident-1,EmergencyGridScenario.rsu[2],normal14,normal,67,67.0004,10,0,266,0,0
receive,accident-1,em-accident-1,EmergencyGridScenario.rsu[2],normal7,normal,67,67.0004,10,0,266,0,0
receive,accident-1,em-accident-1,EmergencyGridScenario.rsu[2],normal21,normal,67,67.0004,10,0,266,0,0
receive,accident-1,em-accident-1,EmergencyGridScenario.rsu[2],normal17,normal,67,67.0004,10,0,266,0,0
receive,accident-1,em-accident-1,EmergencyGridScenario.rsu[2],normal10,normal,67,67.0004,10,0,266,0,0
receive,accident-1,em-accident-1,EmergencyGridScenario.rsu[2],normal13,normal,67,67.0004,10,0,266,0,0
receive,accident-1,em-accident-1,EmergencyGridScenario.rsu[2],EmergencyGridScenario.rsu[0],rsu,67,67.0004,10,0,266,0,0
receive,accident-1,em-accident-1,EmergencyGridScenario.rsu[2],normal16,normal,67,67.0004,10,0,266,0,0
receive,accident-1,em-accident-1,EmergencyGridScenario.rsu[2],ambulance,emergency,67,67.0004,10,0,266,0,0
ev_processed,accident-1,em-accident-1,EmergencyGridScenario.rsu[2],ambulance,emergency,67,67.0004,10,0,266,0,0
receive,accident-1,em-accident-1,EmergencyGridScenario.rsu[2],normal8,normal,67,67.0004,10,0,266,0,0
receive,accident-1,em-accident-1,EmergencyGridScenario.rsu[2],normal12,normal,67,67.0004,10,0,266,0,0
